# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-230.954,1,0.0393257,3,7,0,448.191,-1.83905,1.06279,231.215,23.6679,23.6679,25.7935,32.1702,33.233,35.3586,38.5469,40.6725,40.6725,43.8609,43.8609,44.9237,49.1748,53.426,57.6771,57.6771,58.7399,59.8027,60.8655,60.8655
-153.107,1,0.0754671,2,3,0,206.108,-1.71377,1.0467,422.645,23.407,23.407,25.5003,31.7805,32.8272,34.9206,38.0607,40.1541,40.1541,43.2942,43.2942,44.3409,48.5277,52.7145,56.9012,56.9012,57.9479,58.9946,60.0413,60.0413
-138.8,1,0.143696,3,7,0,148.317,-1.91923,1.20021,658.643,26.8857,26.8857,29.2861,36.4874,37.6876,40.088,43.6886,46.089,46.089,49.6896,49.6896,50.8898,55.6907,60.4915,65.2923,65.2923,66.4925,67.6927,68.8929,68.8929
-138.632,0.666832,0.271232,4,15,0,139.169,-2.26534,0.698126,1053.52,14.4897,14.4897,15.8859,20.0747,20.7728,22.1691,24.2635,25.6597,25.6597,27.7541,27.7541,28.4522,31.2447,34.0372,36.8297,36.8297,37.5279,38.226,38.9241,38.9241
-139.085,0.700125,0.187842,5,59,0,141.577,-1.66094,1.12439,650.031,25.3245,25.3245,27.5732,34.3196,35.444,37.6928,41.0659,43.3147,43.3147,46.6879,46.6879,47.8123,52.3099,56.8074,61.305,61.305,62.4294,63.5538,64.6782,64.6782
-137.372,1,0.144539,2,7,0,139.453,-1.65183,1.28111,822.232,29.0947,29.0947,31.6569,39.3436,40.6247,43.1869,47.0302,49.5924,49.5924,53.4358,53.4358,54.7169,59.8413,64.9657,70.0902,70.0902,71.3713,72.6524,73.9335,73.9335
-131.037,0.798742,0.269256,4,23,0,137.417,-0.849658,6.45297,610.588,154.022,154.022,166.928,205.645,212.098,225.004,244.363,257.269,257.269,276.628,276.628,283.081,308.893,334.705,360.517,360.517,366.97,373.423,379.876,379.876
-134.968,0.994562,0.276653,4,15,0,135.305,-2.81307,3.48158,754.624,80.7448,80.7448,87.708,108.597,112.079,119.042,129.487,136.45,136.45,146.895,146.895,150.376,164.303,178.229,192.155,192.155,195.637,199.119,202.6,202.6
-133.675,0.312761,0.499732,3,10,1,136.931,-5.64201,4.64953,730.518,105.947,105.947,115.246,143.143,147.792,157.091,171.04,180.339,180.339,194.288,194.288,198.937,217.535,236.133,254.732,254.732,259.381,264.031,268.68,268.68
-132.908,0.99945,0.127427,5,31,0,134.671,-6.20743,5.24568,625.446,119.689,119.689,130.18,161.654,166.9,177.391,193.129,203.62,203.62,219.357,219.357,224.603,245.585,266.568,287.551,287.551,292.796,298.042,303.288,303.288
