# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-111.934,0.611896,0.201929,5,31,0,134.024,-0.000531814,14.9343,230.891,358.422,358.422,388.29,477.896,492.83,522.699,567.502,597.37,597.37,642.173,642.173,657.107,716.844,776.581,836.318,836.318,851.253,866.187,881.121,881.121
-112.188,0.988114,0.117701,4,15,0,112.704,-0.258883,14.8586,217.689,356.348,356.348,386.066,475.218,490.076,519.793,564.369,594.087,594.087,638.663,638.663,653.521,712.956,772.39,831.825,831.825,846.684,861.542,876.401,876.401
-93.6194,0.597428,0.214712,3,15,0,111.642,1.32832,19.3556,79.509,465.863,465.863,504.575,620.709,640.064,678.775,736.842,775.554,775.554,833.621,833.621,852.976,930.399,1007.82,1085.24,1085.24,1104.6,1123.96,1143.31,1143.31
-93.9059,0.999539,0.121137,8,287,0,94.0126,13.8835,19.0422,88.7432,470.896,470.896,508.98,623.233,642.275,680.359,737.486,775.57,775.57,832.697,832.697,851.739,927.908,1004.08,1080.24,1080.24,1099.29,1118.33,1137.37,1137.37
-93.8877,0.631828,0.226728,6,79,0,94.8593,10.5252,18.9379,88.0807,465.035,465.035,502.91,616.538,635.476,673.351,730.165,768.041,768.041,824.854,824.854,843.792,919.544,995.295,1071.05,1071.05,1089.98,1108.92,1127.86,1127.86
-92.9636,0.992651,0.142988,10,1023,0,94.7487,-194.192,23.8276,81.4397,377.672,377.672,425.327,568.293,592.121,639.776,711.259,758.914,758.914,830.397,830.397,854.225,949.535,1044.85,1140.16,1140.16,1163.98,1187.81,1211.64,1211.64
-92.5964,0.8565,0.259527,8,359,0,95.2771,-152.969,22.9157,86.3085,397.008,397.008,442.839,580.333,603.249,649.08,717.827,763.659,763.659,832.406,832.406,855.322,946.985,1038.65,1130.31,1130.31,1153.23,1176.14,1199.06,1199.06
-92.5964,0.0342694,0.315087,4,15,0,95.3631,-152.969,22.9157,86.3085,397.008,397.008,442.839,580.333,603.249,649.08,717.827,763.659,763.659,832.406,832.406,855.322,946.985,1038.65,1130.31,1130.31,1153.23,1176.14,1199.06,1199.06
-93.8484,0.995029,0.0364002,4,31,0,95.4366,-152.854,22.2331,62.9742,380.741,380.741,425.207,558.606,580.839,625.305,692.004,736.471,736.471,803.17,803.17,825.403,914.335,1003.27,1092.2,1092.2,1114.43,1136.67,1158.9,1158.9
-93.8101,0.989075,0.0663484,3,7,0,94.6529,-153.052,22.4163,106.616,384.939,384.939,429.772,564.269,586.686,631.518,698.767,743.6,743.6,810.849,810.849,833.265,922.93,1012.6,1102.26,1102.26,1124.68,1147.09,1169.51,1169.51
-92.4325,1,0.117751,2,3,0,93.722,-153.074,22.4912,86.9041,386.715,386.715,431.697,566.644,589.135,634.118,701.591,746.574,746.574,814.047,814.047,836.538,926.503,1016.47,1106.43,1106.43,1128.92,1151.42,1173.91,1173.91
-93.2494,0.925546,0.213385,3,7,0,93.5622,-153.198,22.3102,97.7831,382.246,382.246,426.866,560.727,583.037,627.657,694.588,739.208,739.208,806.138,806.138,828.449,917.689,1006.93,1096.17,1096.17,1118.48,1140.79,1163.1,1163.1
-92.6134,0.335866,0.31172,2,3,0,94.5085,-153.501,22.7575,90.5622,392.679,392.679,438.194,574.739,597.496,643.011,711.284,756.799,756.799,825.071,825.071,847.829,938.859,1029.89,1120.92,1120.92,1143.68,1166.43,1189.19,1189.19
-92.4052,0.998873,0.09001,10,1023,0,93.3387,-81.7674,21.3416,79.1508,430.432,430.432,473.115,601.164,622.506,665.189,729.214,771.897,771.897,835.922,835.922,857.264,942.63,1028,1113.36,1113.36,1134.71,1156.05,1177.39,1177.39
-92.4082,0.977877,0.16061,5,63,0,92.6677,-83.3689,20.9291,84.3001,418.93,418.93,460.789,586.363,607.292,649.151,711.938,753.796,753.796,816.584,816.584,837.513,921.229,1004.95,1088.66,1088.66,1109.59,1130.52,1151.45,1151.45
-93.1479,0.906046,0.268263,2,3,0,93.4093,-83.3324,21.6218,73.8963,435.591,435.591,478.834,608.565,630.187,673.431,738.296,781.54,781.54,846.405,846.405,868.027,954.514,1041,1127.49,1127.49,1149.11,1170.73,1192.35,1192.35
-93.1479,0.220027,0.366743,2,7,0,93.8338,-83.3324,21.6218,73.8963,435.591,435.591,478.834,608.565,630.187,673.431,738.296,781.54,781.54,846.405,846.405,868.027,954.514,1041,1127.49,1127.49,1149.11,1170.73,1192.35,1192.35
-93.4979,0.999568,0.0809661,3,7,0,93.7077,-83.284,21.6847,93.5073,437.15,437.15,480.519,610.627,632.312,675.682,740.736,784.105,784.105,849.16,849.16,870.844,957.583,1044.32,1131.06,1131.06,1152.75,1174.43,1196.12,1196.12
