# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 12:16:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmpjf6qp8cv/s58tzvvc.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023211655_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20,y_base_new.1,y_base_new.2,y_base_new.3,y_base_new.4,y_base_new.5,y_base_new.6,y_base_new.7,y_base_new.8,y_base_new.9,y_base_new.10,y_base_new.11,y_base_new.12,y_base_new.13,y_base_new.14,y_base_new.15,y_base_new.16,y_base_new.17,y_base_new.18,y_base_new.19,y_base_new.20,y_base_new.21,y_base_new.22,y_base_new.23,y_base_new.24,y_base_new.25,y_base_new.26,y_base_new.27,y_base_new.28,y_base_new.29,y_base_new.30,y_base_new.31,y_base_new.32,y_base_new.33,y_base_new.34,y_base_new.35,y_base_new.36,y_base_new.37,y_new.1,y_new.2,y_new.3,y_new.4,y_new.5,y_new.6,y_new.7,y_new.8,y_new.9,y_new.10,y_new.11,y_new.12,y_new.13,y_new.14,y_new.15,y_new.16,y_new.17,y_new.18,y_new.19,y_new.20,y_new.21,y_new.22,y_new.23,y_new.24,y_new.25,y_new.26,y_new.27,y_new.28,y_new.29,y_new.30,y_new.31,y_new.32,y_new.33,y_new.34,y_new.35,y_new.36,y_new.37
-673.83,1,0.0179176,1,1,0,1653.15,-0.423714,0.159786,113.153,3.41115,3.41115,3.73072,4.68944,4.84922,5.1688,5.64815,5.96773,5.96773,6.44708,6.44708,6.60687,7.24601,7.88516,8.5243,8.5243,8.68409,8.84388,9.00366,9.00366,3.25136,3.41115,3.57094,3.73072,3.89051,4.05029,4.21008,4.36987,4.52965,4.68944,4.84922,5.00901,5.1688,5.32858,5.48837,5.64815,5.80794,5.96773,6.12751,6.2873,6.44708,6.60687,6.76666,6.92644,7.08623,7.24601,7.4058,7.56559,7.72537,7.88516,8.04495,8.20473,8.36452,8.5243,8.68409,8.84388,9.00366,47.013,-92.4808,26.194,-53.3357,74.833,108.47,-122.507,112.198,51.9709,69.8308,-63.4087,73.9101,-7.92585,-118.855,-54.2748,24.72,16.7525,-20.6718,-6.5377,94.7997,50.2747,71.6045,49.2415,54.4624,70.2039,-38.4846,97.073,65.9152,139.703,71.6967,46.0787,-24.4974,-121.917,-180.152,-103.039,1.7413,-209.713
-262.51,1,0.0339435,1,1,0,556.486,-0.347136,0.213752,215.254,4.78291,4.78291,5.21042,6.49293,6.70668,7.13418,7.77544,8.20294,8.20294,8.8442,8.8442,9.05795,9.91296,10.768,11.623,11.623,11.8367,12.0505,12.2642,12.2642,4.56916,4.78291,4.99666,5.21042,5.42417,5.63792,5.85167,6.06542,6.27918,6.49293,6.70668,6.92043,7.13418,7.34794,7.56169,7.77544,7.98919,8.20294,8.4167,8.63045,8.8442,9.05795,9.2717,9.48546,9.69921,9.91296,10.1267,10.3405,10.5542,10.768,10.9817,11.1955,11.4092,11.623,11.8367,12.0505,12.2642,-257.138,165.982,96.9517,179.715,-28.651,132.632,287.409,278.929,163.91,-0.596786,-156.47,282.415,211.093,-224.507,185.956,304.99,-339.063,289.742,81.9507,-273.358,51.4341,28.1177,153.154,29.01,-13.8191,-231.682,-180.619,-151.185,-294.381,76.3773,56.6359,-312.067,-48.883,-38.2632,-188.513,-247.89,64.8752
-174.727,1,0.0648221,1,1,0,231.365,-0.389578,0.230906,340.699,5.15217,5.15217,5.61398,6.99942,7.23033,7.69214,8.38486,8.84667,8.84667,9.53939,9.53939,9.7703,10.6939,11.6175,12.5412,12.5412,12.7721,13.003,13.2339,13.2339,4.92127,5.15217,5.38308,5.61398,5.84489,6.0758,6.3067,6.53761,6.76852,6.99942,7.23033,7.46123,7.69214,7.92305,8.15395,8.38486,8.61577,8.84667,9.07758,9.30848,9.53939,9.7703,10.0012,10.2321,10.463,10.6939,10.9248,11.1557,11.3866,11.6175,11.8485,12.0794,12.3103,12.5412,12.7721,13.003,13.2339,-68.8881,117.908,-138.708,-435.884,-166.967,-129.207,13.034,464.624,-814.685,-125.64,-446.772,-122.968,444.198,-96.2934,75.1347,-411.564,544.602,92.9917,-167.477,-17.7683,5.89894,284.313,310.233,469.757,-195.845,-72.2375,-156.413,-32.7547,237.482,381.562,-44.2689,-281.581,81.7213,-293.828,-416.08,-299.072,217.853
-138.64,1,0.124086,2,3,0,163.459,-0.297098,0.35077,770.188,8.12137,8.12137,8.82291,10.9275,11.2783,11.9798,13.0321,13.7337,13.7337,14.786,14.786,15.1368,16.5398,17.9429,19.346,19.346,19.6968,20.0475,20.3983,20.3983,7.7706,8.12137,8.47214,8.82291,9.17368,9.52445,9.87522,10.226,10.5768,10.9275,11.2783,11.6291,11.9798,12.3306,12.6814,13.0321,13.3829,13.7337,14.0845,14.4352,14.786,15.1368,15.4875,15.8383,16.1891,16.5398,16.8906,17.2414,17.5922,17.9429,18.2937,18.6445,18.9952,19.346,19.6968,20.0475,20.3983,-272.385,-845.721,-379.4,-106.76,2228.03,728.255,713.253,-774.477,886.524,-457.352,-1768.08,1041.72,309.748,-471.425,-212.352,1411,120.444,646.583,333.422,-853.707,833.053,-626.34,694.831,-547.191,-595.318,758.265,349.257,-521.274,-651.036,490.759,-503.342,304.502,-1104.45,-614.738,-486.355,146.943,972.851
-139.2,0.0795722,0.237148,3,11,0,143.816,0.819201,-0.598024,952.954,-13.5334,-13.5334,-14.7294,-18.3176,-18.9156,-20.1117,-21.9057,-23.1018,-23.1018,-24.8958,-24.8958,-25.4939,-27.886,-30.2781,-32.6702,-32.6702,-33.2682,-33.8662,-34.4642,-34.4642,-12.9354,-13.5334,-14.1314,-14.7294,-15.3275,-15.9255,-16.5235,-17.1215,-17.7196,-18.3176,-18.9156,-19.5136,-20.1117,-20.7097,-21.3077,-21.9057,-22.5037,-23.1018,-23.6998,-24.2978,-24.8958,-25.4939,-26.0919,-26.6899,-27.2879,-27.886,-28.484,-29.082,-29.68,-30.2781,-30.8761,-31.4741,-32.0721,-32.6702,-33.2682,-33.8662,-34.4642,615.671,341.502,1028.55,-587.351,-1293.87,-1773.63,466.719,-607.454,1226.36,321.836,953.16,-209.646,-1565.5,-754.685,-2173.85,46.5626,1922.84,-999.482,-804.472,102.261,-1511.28,858.723,-15.7808,448.363,447.62,-1872.28,-361.983,-110.788,-703.619,570.263,820.652,-1525.44,393.846,-1710.7,-318.615,1187.7,308.056
-139.62,0.998836,0.0260525,7,127,0,140.187,-0.14191,-0.830164,1038.2,-20.0658,-20.0658,-21.7262,-26.7072,-27.5373,-29.1977,-31.6881,-33.3485,-33.3485,-35.839,-35.839,-36.6691,-39.9898,-43.3104,-46.6311,-46.6311,-47.4613,-48.2914,-49.1216,-49.1216,-19.2357,-20.0658,-20.896,-21.7262,-22.5563,-23.3865,-24.2167,-25.0468,-25.877,-26.7072,-27.5373,-28.3675,-29.1977,-30.0278,-30.858,-31.6881,-32.5183,-33.3485,-34.1786,-35.0088,-35.839,-36.6691,-37.4993,-38.3295,-39.1596,-39.9898,-40.82,-41.6501,-42.4803,-43.3104,-44.1406,-44.9708,-45.8009,-46.6311,-47.4613,-48.2914,-49.1216,-345.423,-1284.95,-815.437,-1527.68,724.877,315.131,-451.268,-13.1358,864.947,1015.73,1712.97,1846.48,1374.39,1063.17,1000.18,-102.294,184.835,-1484.94,789.398,701.305,-1338.4,-867.665,-588.027,-648.352,-289.141,1301.9,11.9602,-25.0203,-1052,-1755.05,1911.08,1731.21,1722.74,-1434.93,722.032,1591.81,234.675
-126.289,0.987019,0.0500555,7,159,0,141.59,-0.369707,9.41914,503.679,225.69,225.69,244.528,301.043,310.462,329.3,357.558,376.396,376.396,404.653,404.653,414.072,451.749,489.426,527.102,527.102,536.521,545.94,555.36,555.36,216.271,225.69,235.109,244.528,253.947,263.366,272.785,282.205,291.624,301.043,310.462,319.881,329.3,338.719,348.139,357.558,366.977,376.396,385.815,395.234,404.653,414.072,423.492,432.911,442.33,451.749,461.168,470.587,480.006,489.426,498.845,508.264,517.683,527.102,536.521,545.94,555.36,915.016,-536.173,202.107,270.694,496.383,-181.67,934.665,758.432,-269.764,311.244,467.614,1128.14,290.564,524.749,-359.163,322.894,312.795,401.63,280.169,113.833,1514.76,504.851,-220.874,-70.6395,886.128,499.61,506.611,795.021,1012.53,613.256,246.644,-86.4128,-44.7075,946.127,309.522,107.786,-463.607
-126.592,0.997809,0.0921594,3,7,0,126.771,-0.404835,9.25072,510.48,221.612,221.612,240.114,295.618,304.869,323.37,351.123,369.624,369.624,397.376,397.376,406.627,443.63,480.633,517.635,517.635,526.886,536.137,545.388,545.388,212.362,221.612,230.863,240.114,249.365,258.615,267.866,277.117,286.367,295.618,304.869,314.12,323.37,332.621,341.872,351.123,360.373,369.624,378.875,388.125,397.376,406.627,415.878,425.128,434.379,443.63,452.88,462.131,471.382,480.633,489.883,499.134,508.385,517.635,526.886,536.137,545.388,-658.3,122.309,372.585,355.254,689.295,-93.2185,807.281,-1388.44,279.701,-394.603,850.727,-47.6643,502.501,239.774,513.715,505.09,-84.1434,375.159,737.743,102.809,-159.603,331.935,-79.7951,572.705,1489.4,1277.2,554.277,578.172,-127.593,-320.977,441.099,190.975,450.978,996.609,942.528,71.0197,288.395
-117.366,0.987821,0.174048,4,15,0,126.753,-1.12665,13.3324,319.277,318.851,318.851,345.516,425.51,438.843,465.508,505.505,532.17,532.17,572.167,572.167,585.499,638.829,692.159,745.488,745.488,758.821,772.153,785.485,785.485,305.519,318.851,332.184,345.516,358.848,372.181,385.513,398.846,412.178,425.51,438.843,452.175,465.508,478.84,492.172,505.505,518.837,532.17,545.502,558.834,572.167,585.499,598.832,612.164,625.496,638.829,652.161,665.494,678.826,692.159,705.491,718.823,732.156,745.488,758.821,772.153,785.485,437.718,507.37,920.11,270.81,873.22,43.1799,889.327,929.651,1099.16,337.514,902.34,-72.9628,261.115,725.187,66.6863,500.769,301.12,883.852,293.386,670.066,1212.35,581.545,742.449,614.742,1236.79,651.7,775.225,427.398,988.846,108.864,574.831,404.242,1347.1,578.112,252.427,631.803,620.66
-117.965,0.239643,0.316227,3,13,1,124.982,-3.12153,14.0713,405.326,334.591,334.591,362.733,447.161,461.233,489.375,531.589,559.732,559.732,601.946,601.946,616.017,672.303,728.588,784.873,784.873,798.945,813.016,827.087,827.087,320.519,334.591,348.662,362.733,376.805,390.876,404.947,419.019,433.09,447.161,461.233,475.304,489.375,503.447,517.518,531.589,545.661,559.732,573.803,587.875,601.946,616.017,630.089,644.16,658.231,672.303,686.374,700.445,714.517,728.588,742.659,756.731,770.802,784.873,798.945,813.016,827.087,348.911,-139.661,-334.149,-71.9422,246.362,980.555,377.184,65.4645,925.861,844.648,418.414,146.933,759.162,-102.459,611.53,-587.589,927.558,564.57,529.967,568.839,572.438,296.265,588.457,1513.5,646.065,699.444,495.877,935.559,1201.16,-51.6355,599.61,840.667,909.045,1048.57,790.928,1672.29,1122.55
