# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 12:16:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmpjf6qp8cv/s58tzvvc.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023211655_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20,y_base_new.1,y_base_new.2,y_base_new.3,y_base_new.4,y_base_new.5,y_base_new.6,y_base_new.7,y_base_new.8,y_base_new.9,y_base_new.10,y_base_new.11,y_base_new.12,y_base_new.13,y_base_new.14,y_base_new.15,y_base_new.16,y_base_new.17,y_base_new.18,y_base_new.19,y_base_new.20,y_base_new.21,y_base_new.22,y_base_new.23,y_base_new.24,y_base_new.25,y_base_new.26,y_base_new.27,y_base_new.28,y_base_new.29,y_base_new.30,y_base_new.31,y_base_new.32,y_base_new.33,y_base_new.34,y_base_new.35,y_base_new.36,y_base_new.37,y_new.1,y_new.2,y_new.3,y_new.4,y_new.5,y_new.6,y_new.7,y_new.8,y_new.9,y_new.10,y_new.11,y_new.12,y_new.13,y_new.14,y_new.15,y_new.16,y_new.17,y_new.18,y_new.19,y_new.20,y_new.21,y_new.22,y_new.23,y_new.24,y_new.25,y_new.26,y_new.27,y_new.28,y_new.29,y_new.30,y_new.31,y_new.32,y_new.33,y_new.34,y_new.35,y_new.36,y_new.37
-649.001,1,0.0179176,1,1,0,1687.38,-1.15096,-1.57536,126.341,-38.9597,-38.9597,-42.1105,-51.5626,-53.138,-56.2887,-61.0148,-64.1656,-64.1656,-68.8917,-68.8917,-70.467,-76.7685,-83.0699,-89.3714,-89.3714,-90.9468,-92.5221,-94.0975,-94.0975,-37.3844,-38.9597,-40.5351,-42.1105,-43.6858,-45.2612,-46.8365,-48.4119,-49.9873,-51.5626,-53.138,-54.7134,-56.2887,-57.8641,-59.4395,-61.0148,-62.5902,-64.1656,-65.7409,-67.3163,-68.8917,-70.467,-72.0424,-73.6178,-75.1931,-76.7685,-78.3438,-79.9192,-81.4946,-83.0699,-84.6453,-86.2207,-87.796,-89.3714,-90.9468,-92.5221,-94.0975,-79.5834,-59.4593,-200.61,-136.7,30.2531,-72.3934,-12.5203,57.7975,-130.89,-220.171,-124.579,154.179,-224.259,139.025,-166.914,-109.221,-134.405,-34.3462,24.9533,3.82442,92.816,-257.154,-86.8177,-168.414,-17.5886,-173.495,-61.0926,218.042,-269.23,8.69758,21.7836,-124.604,19.4839,-203.717,-140.998,-18.137,-188.806
-263.715,1,0.0339435,1,1,0,539.788,-1.18402,-1.53151,235.289,-37.9403,-37.9403,-41.0034,-50.1925,-51.724,-54.787,-59.3815,-62.4446,-62.4446,-67.0391,-67.0391,-68.5706,-74.6967,-80.8227,-86.9488,-86.9488,-88.4803,-90.0118,-91.5433,-91.5433,-36.4088,-37.9403,-39.4719,-41.0034,-42.5349,-44.0664,-45.5979,-47.1294,-48.6609,-50.1925,-51.724,-53.2555,-54.787,-56.3185,-57.85,-59.3815,-60.913,-62.4446,-63.9761,-65.5076,-67.0391,-68.5706,-70.1021,-71.6336,-73.1652,-74.6967,-76.2282,-77.7597,-79.2912,-80.8227,-82.3542,-83.8857,-85.4173,-86.9488,-88.4803,-90.0118,-91.5433,96.2734,-31.4121,-147.092,408.4,236.707,-108.582,-499.221,208.5,-34.4868,335.905,310.789,-440.137,123.858,141.956,-100.665,205.646,-239.711,-403.873,200.765,-199.505,49.5514,-234.944,-36.8104,-81.266,-126.807,133.951,-275.218,167.922,64.3838,-644.099,-376.745,-279.611,7.94519,-40.9268,-116.587,6.92923,-365.088
-162.703,1,0.0648221,1,1,0,232.875,-1.1699,-1.46035,430.437,-36.2182,-36.2182,-39.1389,-47.901,-49.3613,-52.282,-56.663,-59.5837,-59.5837,-63.9648,-63.9648,-65.4251,-71.2665,-77.1079,-82.9493,-82.9493,-84.4096,-85.87,-87.3303,-87.3303,-34.7579,-36.2182,-37.6785,-39.1389,-40.5992,-42.0596,-43.5199,-44.9803,-46.4406,-47.901,-49.3613,-50.8217,-52.282,-53.7424,-55.2027,-56.663,-58.1234,-59.5837,-61.0441,-62.5044,-63.9648,-65.4251,-66.8855,-68.3458,-69.8062,-71.2665,-72.7268,-74.1872,-75.6475,-77.1079,-78.5682,-80.0286,-81.4889,-82.9493,-84.4096,-85.87,-87.3303,-613.697,495.581,423.658,62.9711,-83.7608,-429.969,-961.505,558.308,234.469,-183.73,-256.621,-254.363,-257.846,85.7548,135.065,342.294,-236.304,1011.91,-235.477,-237.654,-79.2242,65.4637,493.828,499.973,192.417,-416.8,69.0159,-91.4182,110.43,-740.512,747,-72.8289,470.831,430.284,-455.733,-437.307,291.035
-136.822,1,0.124086,5,39,0,158.156,-2.02017,7.44971,1206.12,176.773,176.773,191.672,236.371,243.82,258.72,281.069,295.968,295.968,318.317,318.317,325.767,355.566,385.365,415.164,415.164,422.613,430.063,437.513,437.513,169.323,176.773,184.223,191.672,199.122,206.572,214.021,221.471,228.921,236.371,243.82,251.27,258.72,266.169,273.619,281.069,288.518,295.968,303.418,310.868,318.317,325.767,333.217,340.666,348.116,355.566,363.016,370.465,377.915,385.365,392.814,400.264,407.714,415.164,422.613,430.063,437.513,-382.027,779.656,1329.21,-498.743,1152.33,-656.73,-977.581,1384.57,1014.55,1126.01,-125.989,1125.19,1082.09,2764.21,1287.37,2246.51,254.553,-44.1663,46.0094,-839.827,-2720.51,761.081,-605.47,167.603,-603.636,1989.39,-361.155,-300.167,-764.323,-1288.72,1801.14,-2384.25,-843.072,-596.983,-201.148,135.392,953.98
-131.907,0.303807,0.237148,2,7,0,136.884,-2.34562,7.48589,827.379,177.316,177.316,192.288,237.203,244.689,259.661,282.118,297.09,297.09,319.548,319.548,327.034,356.977,386.921,416.864,416.864,424.35,431.836,439.322,439.322,169.83,177.316,184.802,192.288,199.773,207.259,214.745,222.231,229.717,237.203,244.689,252.175,259.661,267.146,274.632,282.118,289.604,297.09,304.576,312.062,319.548,327.034,334.519,342.005,349.491,356.977,364.463,371.949,379.435,386.921,394.407,401.892,409.378,416.864,424.35,431.836,439.322,881.462,640.504,622.942,-278.043,-255.427,205.056,-1231.47,-93.3818,924.164,-814.094,1259.28,222.601,1242.27,711.581,1538.66,-563.647,282.057,-415.32,-884.532,-816.885,814.044,-192.865,-63.303,-28.9109,52.4277,-151.089,1522.52,1777.03,442.61,-587.709,564.256,2277.98,96.0565,-430.673,-557.079,512.044,-278.477
-130.532,0.99799,0.0521893,4,31,0,132.27,-2.12927,7.84282,413.241,186.098,186.098,201.784,248.841,256.684,272.37,295.898,311.584,311.584,335.112,335.112,342.955,374.326,405.697,437.069,437.069,444.912,452.754,460.597,460.597,178.256,186.098,193.941,201.784,209.627,217.47,225.313,233.155,240.998,248.841,256.684,264.527,272.37,280.212,288.055,295.898,303.741,311.584,319.426,327.269,335.112,342.955,350.798,358.641,366.483,374.326,382.169,390.012,397.855,405.697,413.54,421.383,429.226,437.069,444.912,452.754,460.597,-139.544,53.0043,-175.143,381.02,-4.81016,-182.048,576.923,208.822,21.8948,107.89,-98.1956,640.653,-56.9396,-91.0817,242.194,306.271,145.135,879.195,-289.3,439.576,194.082,-234.937,735.891,-53.8908,562.723,512.76,186.292,318.974,-47.4679,282.49,275.96,7.90817,1432.36,24.2171,442.799,202.223,513.573
-130.065,1,0.0995325,3,7,0,130.574,-1.94024,7.98795,711.359,189.771,189.771,205.747,253.674,261.662,277.638,301.602,317.578,317.578,341.542,341.542,349.53,381.481,413.433,445.385,445.385,453.373,461.361,469.349,469.349,181.783,189.771,197.759,205.747,213.734,221.722,229.71,237.698,245.686,253.674,261.662,269.65,277.638,285.626,293.614,301.602,309.59,317.578,325.566,333.554,341.542,349.53,357.518,365.506,373.494,381.481,389.469,397.457,405.445,413.433,421.421,429.409,437.397,445.385,453.373,461.361,469.349,-98.6648,1490.78,1103.94,-758.333,375.262,295.837,645.875,786.264,1.62461,2050.61,41.9502,-284.302,878.683,77.7755,173.969,323.777,-152.83,691.304,-476.787,-551.957,-651.638,-562.357,859.895,-112.454,674.788,-115.054,194.95,-592.211,-122.96,151.1,1144.09,415.671,-349.686,2123.78,378.161,421.786,-907.851
-128.765,0.978716,0.189697,4,15,0,130.489,-1.66894,8.62517,400.344,205.335,205.335,222.586,274.337,282.962,300.212,326.088,343.338,343.338,369.213,369.213,377.839,412.339,446.84,481.341,481.341,489.966,498.591,507.216,507.216,196.71,205.335,213.96,222.586,231.211,239.836,248.461,257.086,265.711,274.337,282.962,291.587,300.212,308.837,317.462,326.088,334.713,343.338,351.963,360.588,369.213,377.839,386.464,395.089,403.714,412.339,420.964,429.59,438.215,446.84,455.465,464.09,472.715,481.341,489.966,498.591,507.216,239.178,-223.97,208.434,392.289,239.024,742.822,-101.636,171.957,570.119,320.317,373.388,218.707,716.762,163.404,-321.411,673.039,296.035,-381.288,762.202,685.592,96.6106,719.282,446.335,252.64,496.724,848.226,875.768,304.81,701.029,-165.601,292.83,283.723,283.699,466.082,950.102,340.835,959.617
-128.868,0.689526,0.336225,2,3,0,128.953,-1.54747,8.53581,655.114,203.312,203.312,220.384,271.598,280.134,297.206,322.813,339.885,339.885,365.492,365.492,374.028,408.171,442.315,476.458,476.458,484.994,493.529,502.065,502.065,194.776,203.312,211.848,220.384,228.919,237.455,245.991,254.527,263.063,271.598,280.134,288.67,297.206,305.742,314.277,322.813,331.349,339.885,348.421,356.957,365.492,374.028,382.564,391.1,399.636,408.171,416.707,425.243,433.779,442.315,450.85,459.386,467.922,476.458,484.994,493.529,502.065,-379.62,-57.7005,-871.383,150.951,424.771,1197.28,-816.161,1350.35,631.317,1107.17,497.534,-463.048,455.601,17.3029,118.503,195.826,-308.3,-244.755,-327.12,89.062,787.386,-139.383,675.167,561.011,-32.8696,1323.18,220.301,81.509,566.83,992.853,354.062,-79.2645,130.42,1646.54,820.269,1186.66,1829.03
-112.262,0.516881,0.247871,4,19,1,128.77,0.14401,14.8711,243.369,357.05,357.05,386.793,476.019,490.89,520.632,565.246,594.988,594.988,639.601,639.601,654.472,713.957,773.441,832.925,832.925,847.797,862.668,877.539,877.539,342.179,357.05,371.921,386.793,401.664,416.535,431.406,446.277,461.148,476.019,490.89,505.761,520.632,535.504,550.375,565.246,580.117,594.988,609.859,624.73,639.601,654.472,669.343,684.215,699.086,713.957,728.828,743.699,758.57,773.441,788.312,803.183,818.054,832.925,847.797,862.668,877.539,428.874,347.584,620.021,131.326,584.949,584.986,469.876,-181.405,695.449,790.224,451.091,516.091,101.948,857.777,704.985,414.366,161.139,97.1494,545.532,769.46,555.501,735.715,498.733,817.317,1013.35,1030.55,1073.3,1153.43,423.921,876.223,800.051,787.843,1126.13,447.354,1064.19,1244.04,685.327
