# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-40816.6,1,0.00195312,1,1,0,173251,0.723285,-1.64003,14.7863,-38.6374,-38.6374,-41.9175,-51.7577,-53.3977,-56.6778,-61.5979,-64.8779,-64.8779,-69.798,-69.798,-71.438,-77.9982,-84.5583,-91.1184,-91.1184,-92.7584,-94.3985,-96.0385,-96.0385
-40816.6,0,14.3855,0,1,1,40817.8,0.723285,-1.64003,14.7863,-38.6374,-38.6374,-41.9175,-51.7577,-53.3977,-56.6778,-61.5979,-64.8779,-64.8779,-69.798,-69.798,-71.438,-77.9982,-84.5583,-91.1184,-91.1184,-92.7584,-94.3985,-96.0385,-96.0385
-40816.6,0,2.43117,0,1,1,40817.7,0.723285,-1.64003,14.7863,-38.6374,-38.6374,-41.9175,-51.7577,-53.3977,-56.6778,-61.5979,-64.8779,-64.8779,-69.798,-69.798,-71.438,-77.9982,-84.5583,-91.1184,-91.1184,-92.7584,-94.3985,-96.0385,-96.0385
-40816.6,0,0.239791,0,1,1,40817,0.723285,-1.64003,14.7863,-38.6374,-38.6374,-41.9175,-51.7577,-53.3977,-56.6778,-61.5979,-64.8779,-64.8779,-69.798,-69.798,-71.438,-77.9982,-84.5583,-91.1184,-91.1184,-92.7584,-94.3985,-96.0385,-96.0385
-40816.6,0,0.0186273,0,1,1,40817.4,0.723285,-1.64003,14.7863,-38.6374,-38.6374,-41.9175,-51.7577,-53.3977,-56.6778,-61.5979,-64.8779,-64.8779,-69.798,-69.798,-71.438,-77.9982,-84.5583,-91.1184,-91.1184,-92.7584,-94.3985,-96.0385,-96.0385
-35595.5,1,0.00130482,1,1,0,40485.3,0.722609,-1.63694,15.833,-38.564,-38.564,-41.8379,-51.6596,-53.2965,-56.5704,-61.4812,-64.7551,-64.7551,-69.666,-69.666,-71.3029,-77.8507,-84.3984,-90.9462,-90.9462,-92.5832,-94.2201,-95.857,-95.857
-14479.2,1,0.00189104,2,3,0,34207.1,0.725614,-1.61091,24.8284,-37.9361,-37.9361,-41.1579,-50.8234,-52.4343,-55.6561,-60.4888,-63.7106,-63.7106,-68.5433,-68.5433,-70.1543,-76.5979,-83.0415,-89.4851,-89.4851,-91.096,-92.7069,-94.3178,-94.3178
-5728.56,1,0.00305706,5,31,0,13882.7,0.727162,-1.58741,39.5878,-37.3707,-37.3707,-40.5455,-50.07,-51.6574,-54.8322,-59.5945,-62.7693,-62.7693,-67.5315,-67.5315,-69.119,-75.4686,-81.8182,-88.1679,-88.1679,-89.7553,-91.3427,-92.9301,-92.9301
-4220.66,1,0.00530085,1,1,0,5534.4,0.735941,-1.57557,46.2126,-37.0779,-37.0779,-40.229,-49.6824,-51.258,-54.4092,-59.1359,-62.287,-62.287,-67.0138,-67.0138,-68.5893,-74.8916,-81.1939,-87.4962,-87.4962,-89.0718,-90.6474,-92.223,-92.223
-2028.91,1,0.00961161,3,7,0,3705.89,0.729777,-1.55752,67.3603,-36.6508,-36.6508,-39.7659,-49.111,-50.6685,-53.7836,-58.4562,-61.5712,-61.5712,-66.2438,-66.2438,-67.8013,-74.0314,-80.2615,-86.4916,-86.4916,-88.0491,-89.6066,-91.1642,-91.1642
-689.278,1,0.0179176,2,3,0,1635.52,0.715473,-1.5133,121.34,-35.6037,-35.6037,-38.6303,-47.7101,-49.2234,-52.25,-56.7899,-59.8165,-59.8165,-64.3564,-64.3564,-65.8697,-71.9229,-77.9761,-84.0293,-84.0293,-85.5427,-87.056,-88.5693,-88.5693
-261.463,1,0.0339435,2,3,0,568.855,0.762025,-1.55733,236.882,-36.614,-36.614,-39.7287,-49.0727,-50.63,-53.7447,-58.4167,-61.5313,-61.5313,-66.2033,-66.2033,-67.7607,-73.99,-80.2193,-86.4487,-86.4487,-88.006,-89.5633,-91.1207,-91.1207
-161.192,1,0.0648221,2,3,0,233.984,0.807039,-1.40423,436.718,-32.8946,-32.8946,-35.703,-44.1284,-45.5326,-48.3411,-52.5538,-55.3623,-55.3623,-59.575,-59.575,-60.9792,-66.5961,-72.2131,-77.83,-77.83,-79.2342,-80.6385,-82.0427,-82.0427
-143.076,1,0.124086,3,7,0,156.701,0.589631,-1.46824,1530.3,-34.648,-34.648,-37.5845,-46.3939,-47.8621,-50.7986,-55.2033,-58.1398,-58.1398,-62.5445,-62.5445,-64.0127,-69.8857,-75.7586,-81.6316,-81.6316,-83.0998,-84.568,-86.0363,-86.0363
-138.674,0.326636,0.237148,4,19,0,142.748,-1.02355,0.00715685,937.153,-0.851781,-0.851781,-0.837467,-0.794526,-0.787369,-0.773056,-0.751585,-0.737271,-0.737271,-0.715801,-0.715801,-0.708644,-0.680017,-0.651389,-0.622762,-0.622762,-0.615605,-0.608448,-0.601291,-0.601291
-138.933,0.991085,0.0560146,8,271,0,139.484,0.199955,-0.328152,912.873,-7.67569,-7.67569,-8.33199,-10.3009,-10.6291,-11.2854,-12.2698,-12.9261,-12.9261,-13.9106,-13.9106,-14.2387,-15.5513,-16.8639,-18.1765,-18.1765,-18.5047,-18.8328,-19.161,-19.161
-131.25,0.983845,0.104531,6,63,0,139.672,4.69183,6.22529,640.521,154.099,154.099,166.549,203.901,210.126,222.577,241.253,253.703,253.703,272.379,272.379,278.604,303.506,328.407,353.308,353.308,359.533,365.758,371.984,371.984
-94.0782,0.797584,0.189564,5,31,0,129.952,1.64192,19.7154,84.1163,474.81,474.81,514.241,632.533,652.249,691.679,750.825,790.256,790.256,849.402,849.402,869.118,947.979,1026.84,1105.7,1105.7,1125.42,1145.13,1164.85,1164.85
-92.8473,0.931017,0.194061,9,655,0,95.7486,-92.5007,20.8547,83.7288,408.011,408.011,449.72,574.848,595.703,637.412,699.976,741.685,741.685,804.249,804.249,825.104,908.523,991.941,1075.36,1075.36,1096.21,1117.07,1137.92,1137.92
-92.5888,0.96281,0.29698,6,111,0,93.494,-85.5122,21.4901,73.8651,430.25,430.25,473.23,602.171,623.661,666.641,731.111,774.092,774.092,838.562,838.562,860.052,946.012,1031.97,1117.93,1117.93,1139.42,1160.91,1182.4,1182.4
-92.5888,1.01703e-26,0.496696,1,1,0,94.3622,-85.5122,21.4901,73.8651,430.25,430.25,473.23,602.171,623.661,666.641,731.111,774.092,774.092,838.562,838.562,860.052,946.012,1031.97,1117.93,1117.93,1139.42,1160.91,1182.4,1182.4
-92.999,0.998184,0.0478407,5,31,0,93.1378,-85.8677,20.714,73.7635,411.268,411.268,452.696,576.98,597.694,639.122,701.264,742.692,742.692,804.834,804.834,825.548,908.403,991.259,1074.12,1074.12,1094.83,1115.54,1136.26,1136.26
-92.591,0.988227,0.0894799,9,607,0,94.0268,-58.0184,20.5066,85.5597,434.141,434.141,475.154,598.194,618.701,659.714,721.234,762.247,762.247,823.767,823.767,844.274,926.301,1008.33,1090.35,1090.35,1110.86,1131.37,1151.87,1151.87
-92.7428,0.992167,0.160974,3,7,0,93.2247,-58.2819,20.3832,87.2415,430.914,430.914,471.68,593.979,614.362,655.129,716.278,757.045,757.045,818.194,818.194,838.577,920.11,1001.64,1083.18,1083.18,1103.56,1123.94,1144.32,1144.32
-92.7428,0.277569,0.290112,2,7,0,94.0222,-58.2819,20.3832,87.2415,430.914,430.914,471.68,593.979,614.362,655.129,716.278,757.045,757.045,818.194,818.194,838.577,920.11,1001.64,1083.18,1083.18,1103.56,1123.94,1144.32,1144.32
-93.8863,0.993958,0.0672112,10,1023,0,96.3674,-127.834,22.7502,97.2521,418.171,418.171,463.671,600.172,622.923,668.423,736.674,782.174,782.174,850.425,850.425,873.175,964.176,1055.18,1146.18,1146.18,1168.93,1191.68,1214.43,1214.43
-93.2671,1,0.121501,3,7,0,94.3235,-127.847,22.6147,92.2789,414.906,414.906,460.135,595.823,618.438,663.667,731.511,776.741,776.741,844.585,844.585,867.2,957.658,1048.12,1138.58,1138.58,1161.19,1183.81,1206.42,1206.42
-93.6898,0.902907,0.221213,1,1,0,93.7828,-127.807,22.6449,98.5719,415.672,415.672,460.962,596.831,619.476,664.766,732.701,777.991,777.991,845.925,845.925,868.57,959.15,1049.73,1140.31,1140.31,1162.95,1185.6,1208.24,1208.24
-92.5965,1,0.304272,2,3,0,93.3303,-127.717,22.4559,74.0175,411.224,411.224,456.136,590.871,613.327,658.239,725.606,770.518,770.518,837.886,837.886,860.342,950.165,1039.99,1129.81,1129.81,1152.27,1174.72,1197.18,1197.18
-92.5965,0.0788624,0.544333,1,3,1,93.2636,-127.717,22.4559,74.0175,411.224,411.224,456.136,590.871,613.327,658.239,725.606,770.518,770.518,837.886,837.886,860.342,950.165,1039.99,1129.81,1129.81,1152.27,1174.72,1197.18,1197.18
-93.7143,0.985379,0.0773932,10,1023,0,94.971,-86.3793,21.7379,98.3847,435.33,435.33,478.806,609.233,630.971,674.447,739.661,783.137,783.137,848.35,848.35,870.088,957.04,1043.99,1130.94,1130.94,1152.68,1174.42,1196.16,1196.16
-94.1048,0.969133,0.133294,9,599,0,95.5305,-56.0874,21.2752,85.6813,454.519,454.519,497.069,624.721,645.996,688.546,752.372,794.923,794.923,858.748,858.748,880.024,965.125,1050.23,1135.33,1135.33,1156.6,1177.88,1199.15,1199.15
-93.6793,0.92151,0.217787,7,191,0,95.5016,-77.7844,21.6576,77.203,441.998,441.998,485.313,615.259,636.917,680.232,745.205,788.52,788.52,853.493,853.493,875.15,961.781,1048.41,1135.04,1135.04,1156.7,1178.36,1200.01,1200.01
-93.6793,0.406096,0.310822,1,1,0,94.1894,-77.7844,21.6576,77.203,441.998,441.998,485.313,615.259,636.917,680.232,745.205,788.52,788.52,853.493,853.493,875.15,961.781,1048.41,1135.04,1135.04,1156.7,1178.36,1200.01,1200.01
-92.9168,0.737872,0.112514,3,7,0,97.9918,-78.1005,21.4699,78.7391,437.178,437.178,480.118,608.938,630.408,673.347,737.757,780.697,780.697,845.107,845.107,866.577,952.457,1038.34,1124.22,1124.22,1145.69,1167.16,1188.63,1188.63
-93.2459,0.998292,0.0990261,9,735,0,94.4491,-108.884,22.2783,85.2528,425.796,425.796,470.352,604.022,626.301,670.857,737.692,782.249,782.249,849.084,849.084,871.362,960.476,1049.59,1138.7,1138.7,1160.98,1183.26,1205.54,1205.54
-92.7174,0.945933,0.172251,3,15,0,94.1514,-108.438,21.2872,88.003,402.454,402.454,445.029,572.752,594.039,636.613,700.475,743.049,743.049,806.911,806.911,828.198,913.347,998.496,1083.64,1083.64,1104.93,1126.22,1147.51,1147.51
-92.4137,0.959011,0.259374,2,3,0,93.361,-108.251,21.3609,83.4168,404.412,404.412,447.134,575.299,596.66,639.382,703.465,746.187,746.187,810.27,810.27,831.63,917.074,1002.52,1087.96,1087.96,1109.32,1130.68,1152.04,1152.04
-92.3949,0.291973,0.401326,2,3,0,93.6208,-108.632,21.8911,85.9945,416.755,416.755,460.537,591.883,613.774,657.557,723.23,767.012,767.012,832.685,832.685,854.576,942.141,1029.71,1117.27,1117.27,1139.16,1161.05,1182.94,1182.94
-92.2707,0.99881,0.112648,10,1023,0,92.9521,-77.3607,21.101,78.5618,429.063,429.063,471.265,597.871,618.972,661.174,724.477,766.679,766.679,829.982,829.982,851.083,935.487,1019.89,1104.29,1104.29,1125.4,1146.5,1167.6,1167.6
-92.3063,0.960129,0.192662,9,575,0,94.4555,-121.047,21.7977,69.7136,402.098,402.098,445.694,576.48,598.278,641.873,707.267,750.862,750.862,816.255,816.255,838.053,925.244,1012.43,1099.63,1099.63,1121.42,1143.22,1165.02,1165.02
-92.7137,0.959018,0.296595,8,271,0,93.2929,-157.762,23.1195,77.9848,397.106,397.106,443.345,582.062,605.181,651.42,720.779,767.018,767.018,836.376,836.376,859.496,951.973,1044.45,1136.93,1136.93,1160.05,1183.17,1206.29,1206.29
-92.7137,0.0342395,0.452398,1,3,1,93.8844,-157.762,23.1195,77.9848,397.106,397.106,443.345,582.062,605.181,651.42,720.779,767.018,767.018,836.376,836.376,859.496,951.973,1044.45,1136.93,1136.93,1160.05,1183.17,1206.29,1206.29
-92.7058,0.955562,0.0695571,5,63,0,95.4277,-156.253,22.6479,92.4701,387.296,387.296,432.591,568.479,591.127,636.422,704.366,749.662,749.662,817.605,817.605,840.253,930.845,1021.44,1112.03,1112.03,1134.68,1157.32,1179.97,1179.97
